Ai Tong School
Catholic High School
CHIJ, St Nicholas Girls' School
Holy Innocents' Primary School
Hong Wen School
Kong Hwa School
Maha Bodhi School
Maris Stella High School
Nan Hua Primary School
Nanyang Primary School
Pei Chun Public School
Pei Hwa Presbyterian Primary School
Po Ching School
Red Swastika School
Tao Nan School
Raffles' Girls Primary School
Rosyth School
Anglo-Chinese Primary School
Henry Park Primary School
St Hilda's Primary School
